Phase,Task_intention,Social_strategy,SSML,Sentence_text
greeting,greeting,NONE,NONE,"Hi, I'm Jamie. What's your name?"
greeting,greeting,SD,NONE,"Hi, I'm Jamie. I'm really glad you're here. What's your name?"
greeting,greeting,VSN,NONE,"Yo, I'm Jamie. Who are you?"
greeting,greeting,QE,NONE,"Hey, I'm Jamie. What should I call you?"
greeting,greeting,ID,NONE,"Oh, uh, hi, I'm Jamie. What's your name?"
greeting,greeting,PR,NONE,"Hi, I'm Jamie. What's your name?"
greeting,pleasure_at_greeting,NONE,NONE,It's nice to meet you.
greeting,pleasure_at_greeting,SD,NONE,Nice to meet you. I'm looking forward to working with you!
greeting,pleasure_at_greeting,VSN,NONE,It's nice to meet you. Even if you are just a human. 
greeting,pleasure_at_greeting,QE,NONE,Nice to meet you. Isn't this going to be fun?
greeting,pleasure_at_greeting,ID,NONE,It's a pleasure to meet you.
greeting,pleasure_at_greeting,PR,NONE,Nice to meet you. I've heard so much about you!
introduction,school_introduction,QE,NONE,So what school do you go to?
introduction,approval,NONE,NONE,"Oh, cool."
introduction,respond_with_school,SD,NONE,I go to PA Cyber School
introduction,ask_about_grade,QE,NONE,What grade are you in?
introduction,respond_with_grade,SD,NONE,"Oh, cool. Me too."
introduction,hobbies_introduction,QE,NONE,So what do you do for fun?
introduction,share_interests,SD,NONE,I like playing robot soccer.
introduction,task_introduction,NONE,NONE,"Ok, it's time to start working on the math now."
introduction,task_introduction,SD,NONE,"Ok, it's time to start on the math. I'm supposed to help you learn Algebra."
introduction,task_introduction,VSN,NONE,"Ok, enough chit chat. Time to start working."
introduction,task_introduction,QE,NONE,How do you feel about starting the Algebra now?
introduction,task_introduction,ID,NONE,"Ok, so I guess we're supposed to start this math thing now."
introduction,task_introduction,PR,NONE,I think we'll make a good team. Want to get started?
Problem1,look_at_problem,NONE,NONE,"Okay, let's take a look at this one."
Problem1,look_at_problem,SD,NONE,"Okay, let's take a look at this one. I think this kind is fun. "
Problem1,look_at_problem,VSN,NONE,Time to start working on this one. 
Problem1,look_at_problem,QE,NONE,"Okay, let's take a look at this one. Do you know how to do this kind?"
Problem1,look_at_problem,ID,NONE,"Okay, I guess we should take a look at this one."
Problem1,look_at_problem,PR,NONE,"Okay, take a look at this one. I think you can do this kind! "
Problem1,elicit_step1,NONE,NONE,So what do you think you should do first?
Problem1,elicit_step1,SD,NONE,So what do you think you should do first? Sometimes I don't know how to start these kind of problems.
Problem1,elicit_step1,VSN,NONE,So... are you going to start it any time soon?
Problem1,elicit_step1,QE,NONE,So do you know what you should do first?
Problem1,elicit_step1,ID,NONE,Would you mind telling me what you think you should do first?
Problem1,elicit_step1,PR,NONE,So what do you think you should do first? You look like you know what you're doing.
Problem1,positive_feedback,NONE,NONE,Yep that's right.
Problem1,positive_feedback,SD,NONE,Correct!
