Phase,Task_intention,Social_strategy,SSML,Sentence_text
greeting,greeting,NONE,NONE,"Hi, I'm Jaden. What's your name?"
greeting,greeting,SD,NONE,"Hi, I'm Jaden. I'm really glad you're here. What's your name?"
greeting,greeting,VSN,NONE,"Yo, I'm Jaden. Who are you?"
greeting,greeting,QE,NONE,"Hey, I'm Jaden. What should I call you?"
greeting,greeting,ID,NONE,"Oh, uh, hi, I'm Jaden. What's your name?"
greeting,pleasure_at_greeting,NONE,NONE,It's nice to meet you.
greeting,pleasure_at_greeting,SD,NONE,Nice to meet you. I'm looking forward to working with you!
greeting,pleasure_at_greeting,VSN,NONE,Nice to meet you. Have you ever met a virtual person before?
greeting,pleasure_at_greeting,QE,NONE,Nice to meet you. Isn't this going to be fun?
greeting,pleasure_at_greeting,PR,NONE,Nice to meet you. I've heard so much about you!
introduction,school_introduction,QE,NONE,So what school do you go to?
introduction,approval,NONE,NONE,"Oh, cool."
introduction,respond_with_school,SD,NONE,Oh cool. I go to PA Cyber School
introduction,ask_about_grade,QE,NONE,What grade are you in?
introduction,respond_with_grade,SD,NONE,Cool. Me too.
introduction,hobbies_introduction,QE,NONE,What do you do for fun?
introduction,share_interests,SD,NONE,I like playing robot soccer.
introduction,task_introduction,NONE,NONE,"Ok, we're supposed to start working on the math now."
introduction,task_introduction,SD,NONE,"Ok, we're supposed to start working on the math now. I'm supposed to help you learn Algebra, but I'm a little nervous."
introduction,task_introduction,VSN,NONE,"Ok, enough chit chat. Time to start working."
introduction,task_introduction,QE,NONE,How do you feel about starting the Algebra now?
introduction,task_introduction,ID,NONE,"Ok, so I guess we're supposed to start this math thing now."
introduction,task_introduction,PR,NONE,I think we'll make a good team. Want to get started?
Problem1,look_at_problem,NONE,NONE,"Okay, let's take a look at this one."
Problem1,look_at_problem,SD,NONE,"Okay, let's take a look at this one. I think this kind is fun. "
Problem1,look_at_problem,VSN,NONE,Time to start working on this one. If you think you're ready.
Problem1,look_at_problem,QE,NONE,"Okay, let's take a look at this one. Do you know how to do this kind?"
Problem1,look_at_problem,ID,NONE,"Okay, I guess we should take a look at this one."
Problem1,look_at_problem,PR,NONE,"Okay, take a look at this one. I think you can do this kind! "
Problem1,look_at_problem,RSE,NONE,"Okay, take a look at this one. This reminds me of one of the other ones we worked on!"
Problem1,task_regulation,NONE,NONE,Let's get back on track.
